商船三井,9104.T,3430.0,3395.1,0,0,0,-34.9,0
川崎汽船,9107.T,3375.0,3088.2,0,0,0,-286.8,0
NIPPON EXPRESSホールディングス,9147.T,7420.0,7461.8,0,1,0,41.8,0
ANAホールディングス,9202.T,2791.5,2823.3,0,1,0,31.8,0
三菱倉庫,9301.T,3100.0,3119.7,0,1,0,19.7,0
日本電信電話,9432.T,3889.0,3902.6,0,1,0,13.6,0
KDDI,9433.T,4008.0,4000.9,0,0,0,-7.1,0
ソフトバンク,9434.T,1536.5,1530.3,0,0,0,-6.2,0
東京電力ホールディングス,9501.T,463.0,465.3,0,1,0,2.3,0
中部電力,9502.T,1410.0,1394.8,0,0,0,-15.2,0
関西電力,9503.T,1265.0,1261.9,0,0,0,-3.1,0
東京瓦斯,9531.T,2692.0,2706.5,0,1,0,14.5,0
大阪瓦斯,9532.T,2169.0,2185.3,0,1,0,16.3,0
東宝,9602.T,4785.0,4791.1,0,1,0,6.1,0
エヌ・ティ・ティ・データ,9613.T,1894.0,1918.8,0,1,0,24.8,0
セコム,9735.T,7810.0,7733.2,0,0,0,-76.8,0
コナミホールディングス,9766.T,6410.0,6395.4,0,0,0,-14.6,0
ファーストリテイリング,9983.T,83320.0,82585.5,0,0,0,-734.5,0
ソフトバンクグループ,9984.T,5893.0,5955.3,0,1,0,62.3,0
